input,output,instruction
"Artificial Surface 64.92
Vegetation 8.84
Markers & Obstacles 16.69
Artificial Surface behind right Vegetation
Markers & Obstacles behind left Vegetation
",many green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.24
Water 6.44
Vegetation 16.07
Markers & Obstacles 10.56
Artificial Surface behind left Markers & Obstacles
Water behind left Artificial Surface
Vegetation front left Water
",three baseball fields are near a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.21
Vegetation 9.73
Markers & Obstacles 6.84
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",here is a bright green baseball field with a dark green pond and runway of playground nearby .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.95
Vegetation 7.47
Markers & Obstacles 5.49
Artificial Surface behind right Vegetation
Markers & Obstacles behind right Vegetation
",a baseball field is near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.29
",some green trees are near three baseball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.62
Markers & Obstacles 5.53
Artificial Surface front left Markers & Obstacles
",two baseball fields are surrounded by some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.39
Vegetation 11.88
Artificial Surface behind Vegetation
",several buildings and some green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.43
",three baseball fields are surrounded by some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.54
Vegetation 13.06
Artificial Surface behind left Vegetation
",some green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 54.07
Water 17.83
Vegetation 25.12
Artificial Surface behind Vegetation
Water front right Vegetation
",some sparse green trees are around four baseball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.59
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.36
",a row of green trees is near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.19
Building 6.81
Artificial Surface front right Building
",five baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.53
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.05
Vegetation 6.62
Markers & Obstacles 5.47
Artificial Surface behind right Markers & Obstacles
Vegetation to the left of Artificial Surface
",two baseball fields are near several green trees and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.97
Building 17.40
Artificial Surface behind right Building
",a baseball field is near many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.65
Vegetation 19.40
Artificial Surface behind Vegetation
",a baseball field is near several buildings and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.91
",five baseball fields are surrounded by many green plants and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.13
Water 10.66
Vegetation 24.75
Artificial Surface to the left of Vegetation
Water behind right Vegetation
",many green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.15
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.52
",four baseball fields are surrounded by many green plants and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.19
Markers & Obstacles 5.73
Artificial Surface behind right Markers & Obstacles
",a baseball field is near several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.31
Natural Surface 6.99
Vegetation 24.32
Building 7.78
Artificial Surface behind Vegetation
Natural Surface behind right Artificial Surface
Building behind left Artificial Surface
",four baseball fields are near some green plants .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.13
",a baseball field is near some cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.14
Vegetation 18.53
Artificial Surface behind left Vegetation
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.13
Vegetation 26.15
Artificial Surface behind Vegetation
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.58
",four baseball fields are surrounded by many green trees and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 56.05
Vegetation 43.56
Artificial Surface to the right of Vegetation
",a baseball field is near a green tree .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 79.96
Water 8.13
Vegetation 5.77
Artificial Surface behind Vegetation
Water behind right Artificial Surface
",two baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.79
Building 29.12
Artificial Surface front right Building
",a baseball field is surrounded by several buildings and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.87
Water 18.85
Vegetation 13.50
Markers & Obstacles 6.58
Artificial Surface to the right of Vegetation
Water behind left Vegetation
Markers & Obstacles front left Vegetation
",two baseball fields are near a parking lot and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.92
Vegetation 19.97
Artificial Surface behind Vegetation
",a road is near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.31
",two baseball fields in different sizes are near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.25
Vegetation 15.02
Artificial Surface behind right Vegetation
",several cars are near a large baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.80
Vegetation 39.09
Artificial Surface behind left Vegetation
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.48
Vegetation 28.54
Markers & Obstacles 7.59
Artificial Surface behind left Vegetation
Markers & Obstacles front right Vegetation
",three baseball fields are semi-surrounded by green trees near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.52
",a baseball field is surrounded by green trees near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.79
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.29
Vegetation 25.90
Artificial Surface to the left of Vegetation
",two baseball fields are near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.78
Vegetation 5.14
Artificial Surface behind Vegetation
",four baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.24
",three baseball fields are near many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.39
Vegetation 10.35
Markers & Obstacles 5.19
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.55
Vegetation 38.30
Artificial Surface to the left of Vegetation
",three baseball fields are near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.70
",a baseball field is near many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.59
",four baseball fields are semi-surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.26
Vegetation 11.30
Artificial Surface behind Vegetation
",a baseball field is near many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.90
",several green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.50
",three baseball fields are near a white building and two tennis courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.01
Vegetation 18.22
Artificial Surface behind left Vegetation
",several cars and small buildings are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.13
Vegetation 6.60
Artificial Surface behind right Vegetation
",it is a fan shaped baseballfield with trees on its coner .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.35
",a baseball field and a ground track field are located near a parking lot and two red roof houses .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.89
",two buildings and some green trees are around a baseball field near a road with cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.11
Vegetation 15.18
Artificial Surface behind Vegetation
",several green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.24
Vegetation 5.22
Artificial Surface behind Vegetation
",a parking lot between some blocks and two baseball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.31
Building 8.26
Artificial Surface to the left of Building
",the fan shaped baseball field is next to building with brown roofs .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.65
Vegetation 5.78
Building 5.21
Artificial Surface behind Vegetation
Building behind right Artificial Surface
",the brown round circle in the baseball field next to the parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.58
",several green trees and several cars are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.19
Vegetation 5.91
Artificial Surface behind Vegetation
","it is green grassland, white and black buildings, and brown path .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.69
Vegetation 6.59
Artificial Surface on Vegetation
","this is a grassland, several buildings and path .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.36
",we can see that the baseball field is surrounded by some buildings and trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.76
",this fan shaped baseballfield is surrounded by roads and a building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.44
Water 18.53
Vegetation 11.40
Artificial Surface on Vegetation
Water front right Artificial Surface
",here is two baseballfields diagonally located on the lawn decorated with trees  near which is a basketball court and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.69
Vegetation 7.08
Artificial Surface behind Vegetation
",the two baseball fields forms into a semicircle .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.58
Vegetation 7.89
Artificial Surface behind right Vegetation
",four different size baseball field located back to back .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.71
Water 18.88
Markers & Obstacles 9.46
Artificial Surface behind left Markers & Obstacles
Water to the left of Artificial Surface
",two baseball field between a parking lot  and the freeway .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.23
",two baseball fields are near a road with several buildings and green trees in two sides of it .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.65
Water 5.78
Artificial Surface behind left Water
",the baseballfield is sit alongside a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 76.65
Markers & Obstacles 11.01
Artificial Surface behind right Markers & Obstacles
",a red baseball field and a brown baseball field located in a neighborhood .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 49.80
Water 39.80
Artificial Surface front left Water
",some green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 91.06
Vegetation 5.51
Artificial Surface front left Vegetation
",it is a fan shaped baseballfield besided a woods .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.57
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.44
",a baseball field is surrounded by some green trees and two tennis courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.11
Water 9.80
Vegetation 6.96
Artificial Surface behind Vegetation
Water front right Vegetation
",two baseball fields are near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.59
Building 10.50
Artificial Surface behind right Building
",a baseball field is near several green trees sparsely .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.35
",a baseball field is surrounded by green meadow .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.77
Building 15.70
Artificial Surface behind right Building
",three baseball fields and an empty parking lot are near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.26
",two baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.84
",two baseball fields are surrounded by some green trees and several buildings with a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 74.67
Vegetation 19.58
Artificial Surface behind right Vegetation
",two baseball fields are surrounded by many green trees and a parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.28
Vegetation 11.24
Building 10.63
Artificial Surface behind right Building
Vegetation front left Building
",two baseball fields are near several green trees and cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.38
Building 9.56
Artificial Surface behind left Building
",many green trees are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 65.65
Water 5.36
Vegetation 24.36
Artificial Surface behind Vegetation
Water front left Vegetation
",four baseball fields are surrounded by some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 67.76
Water 17.79
Vegetation 12.93
Artificial Surface on Vegetation
Water behind right Artificial Surface
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.73
Vegetation 8.86
Artificial Surface on Vegetation
",a baseball field is surrounded by several buildings and some cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.95
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.92
Water 18.07
Vehicles 8.52
Markers & Obstacles 6.20
Artificial Surface behind right Markers & Obstacles
Water front left Vehicles
",two baseball fields are surrounded by some buildings and several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.56
",some green trees and a road are near a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.07
Vegetation 19.81
Artificial Surface behind right Vegetation
",a baseball field is near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.82
Water 8.56
Vegetation 11.76
Artificial Surface behind Vegetation
Water behind left Artificial Surface
",many green trees and gray buildings are around two baseball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.51
Water 18.42
Vegetation 42.58
Artificial Surface to the right of Vegetation
Water behind right Artificial Surface
",two baseball fields are near some green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.72
Vegetation 6.10
Artificial Surface in front Vegetation
",two baseball fields are near several parallel freeways .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.30
Vegetation 5.30
Artificial Surface behind right Vegetation
",four baseball fields are near a football field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 100.00
",a baseball field is near three tennis courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 73.75
Water 12.44
Vegetation 9.27
Artificial Surface to the right of Vegetation
Water behind left Vegetation
",four baseball fields are near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.24
Water 7.46
Markers & Obstacles 6.22
Artificial Surface behind right Markers & Obstacles
Water front right Markers & Obstacles
",four baseball fields are near two tennis courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.88
",a baseball field is near a road and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.24
Water 6.44
Vegetation 16.07
Markers & Obstacles 10.56
Artificial Surface behind left Markers & Obstacles
Water behind left Artificial Surface
Vegetation front left Water
",a baseball field is near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.25
Vegetation 12.36
Artificial Surface to the left of Vegetation
",a baseball field is near a building and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 64.92
Vegetation 8.84
Markers & Obstacles 16.69
Artificial Surface behind right Vegetation
Markers & Obstacles behind left Vegetation
",three baseball fields are near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.80
Building 5.83
Markers & Obstacles 5.82
Artificial Surface behind right Markers & Obstacles
Building behind left Artificial Surface
",two baseball fields are near a road with green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.21
Vegetation 9.73
Markers & Obstacles 6.84
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",four baseball fields are surrounded by many green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.62
Markers & Obstacles 5.53
Artificial Surface front left Markers & Obstacles
",three baseball fields are surrounded by green trees and meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.29
",an irregular baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 82.95
Vegetation 7.47
Markers & Obstacles 5.49
Artificial Surface behind right Vegetation
Markers & Obstacles behind right Vegetation
",a relatively simple baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.39
Vegetation 11.88
Artificial Surface behind Vegetation
",a baseball field is surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 54.07
Water 17.83
Vegetation 25.12
Artificial Surface behind Vegetation
Water front right Vegetation
",a baseball field is near a road with several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.43
",three baseball fields are surrounded by many green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 97.59
",three baseball fields are surrounded by green trees and two rows of red buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.54
Vegetation 13.06
Artificial Surface behind left Vegetation
",a baseball field is near some green trees and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.36
",two baseball fields are surrounded by green trees respectively .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.53
",two baseball fields surrounded by green trees respectively are near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.05
Vegetation 6.62
Markers & Obstacles 5.47
Artificial Surface behind right Markers & Obstacles
Vegetation to the left of Artificial Surface
",four baseball fields are near some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 81.97
Building 17.40
Artificial Surface behind right Building
",three baseball fields are surrounded by sparse green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.19
Building 6.81
Artificial Surface front right Building
",many green trees are around two baseball fields near a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 77.65
Vegetation 19.40
Artificial Surface behind Vegetation
","a baseball field is a fan, near the side of the road .",Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.19
Markers & Obstacles 5.73
Artificial Surface behind right Markers & Obstacles
",the baseball field consists of a large lawn .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.13
Water 10.66
Vegetation 24.75
Artificial Surface to the left of Vegetation
Water behind right Vegetation
",the baseball field field is surrounded by lush trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 88.15
",the baseball field consists of a large lawn .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.52
",so many trees around a meadow are there .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.91
",a baseball field is near several green trees and a small parking lot .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.13
",some green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.31
Natural Surface 6.99
Vegetation 24.32
Building 7.78
Artificial Surface behind Vegetation
Natural Surface behind right Artificial Surface
Building behind left Artificial Surface
",a baseball field is near some green trees and a crossroads .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.13
Vegetation 26.15
Artificial Surface behind Vegetation
",the baseball field is evenly divided into four parts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 70.79
Building 29.12
Artificial Surface front right Building
",five baseball fields are near several green trees and a road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.58
",a baseball field is surrounded by green meadows .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 78.14
Vegetation 18.53
Artificial Surface behind left Vegetation
",two baseball fields are surrounded by some green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 79.96
Water 8.13
Vegetation 5.77
Artificial Surface behind Vegetation
Water behind right Artificial Surface
",a baseball field is near some green trees and several basketball fields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.87
Water 18.85
Vegetation 13.50
Markers & Obstacles 6.58
Artificial Surface to the right of Vegetation
Water behind left Vegetation
Markers & Obstacles front left Vegetation
",the baseball field field is surrounded by lush trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 72.92
Vegetation 19.97
Artificial Surface behind Vegetation
",some green trees are around a baseball field sparsely .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 56.05
Vegetation 43.56
Artificial Surface to the right of Vegetation
",a baseball field is surrounded by some green trees and several buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.31
",a baseball field is surrounded by some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 60.80
Vegetation 39.09
Artificial Surface behind left Vegetation
",many green trees are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 83.25
Vegetation 15.02
Artificial Surface behind right Vegetation
",two baseball fields are near several green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.79
",some green trees and several buildings are around a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 57.48
Vegetation 28.54
Markers & Obstacles 7.59
Artificial Surface behind left Vegetation
Markers & Obstacles front right Vegetation
",two baseball fields and a playground are near several buildings and some green trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.52
",a baseball field is near several green trees and buildings .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 68.29
Vegetation 25.90
Artificial Surface to the left of Vegetation
",there's a yellow baseball field in the middle of the lawn .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.78
Vegetation 5.14
Artificial Surface behind Vegetation
",the square area is a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.24
",there's a yellow baseball field on the green field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.39
Vegetation 10.35
Markers & Obstacles 5.19
Artificial Surface behind Vegetation
Markers & Obstacles front left Vegetation
",this area is a small baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 59.55
Vegetation 38.30
Artificial Surface to the left of Vegetation
",this area is a large baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 84.26
Vegetation 11.30
Artificial Surface behind Vegetation
",the brown land is a baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.70
",many tall trees are planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.59
",many trees are planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 52.82
Water 11.83
Vegetation 33.73
Artificial Surface behind Vegetation
Water front right Vegetation
",a small amount of trees were planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 36.46
Natural Surface 5.94
Water 6.40
Vegetation 48.50
Artificial Surface to the left of Vegetation
Natural Surface behind left Artificial Surface
Water behind right Natural Surface
",this is a very big baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.59
",a few coconut trees were planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 66.09
Vegetation 31.50
Artificial Surface on Vegetation
",there is a house around the big baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.62
",a lot of trees are planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.31
",the round area is a large baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.62
",there is a baseball field around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.44
",many tall trees are planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.33
",the baseball field covers a large area .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 75.93
Vegetation 10.63
Markers & Obstacles 6.46
Artificial Surface front right Markers & Obstacles
Vegetation front right Artificial Surface
",there's a big baseball field next to the road .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.19
",many tall trees are planted around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 86.26
Vegetation 5.39
Artificial Surface behind Vegetation
",there are two round brown fields on the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 93.49
",there are purple roofed houses around the baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 80.30
Vegetation 11.56
Artificial Surface behind left Vegetation
",in the middle of the green grass is a house with a blue roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 92.65
",two baseball field in a square field with a blue bleachers .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.84
",the polygon baseball field beside some footballfields .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 96.05
",four baseball field next to some tennis court and surrounded by some trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 90.82
Vegetation 6.60
Artificial Surface behind left Vegetation
",a parking lot is lying near the baseballfield  next to which there are some other sports courts .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 99.18
",a baseball field between a playground and a blue building .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.68
",two baseball field surrounded bysome trees and near a block .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 87.16
Building 6.69
Artificial Surface front right Building
",a baseball field is near two buildings and several cars and several cars .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 62.98
Vegetation 36.19
Artificial Surface on Vegetation
",surrounded by winding roads  there is three big baseballfields and four small baseballfields with coconut trees planting alongside the edges .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.82
Vegetation 13.63
Artificial Surface behind left Vegetation
",the four baseball field forms into a round .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 85.92
Vegetation 13.37
Artificial Surface front left Vegetation
",this land has a large baseball field .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 89.16
Vegetation 8.71
Artificial Surface behind right Vegetation
",a quarter contains a fanshaped baseball field with many trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.97
",the baseball field is surrounded by a grey roof .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 98.71
",two football courts are surrounding the baseballfield .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 94.58
",there are two fields back to back surrounded by trees .,Write a short description of a remote sensing image with the following information.
"Artificial Surface 95.76
",a baseball field with some trees and a grey block .,Write a short description of a remote sensing image with the following information.
